metric,index,mean,std
precision macro (test) (transpose_{'n_semitones': 12}),12,0.4099744166634441,0.13663843661221764
precision macro (test) (transpose_{'n_semitones': 12}),13,0.5014836039911461,0.19811800838045399
precision macro (test) (transpose_{'n_semitones': 12}),14,0.26518412453768364,0.10671954596314781
precision macro (test) (transpose_{'n_semitones': 12}),15,0.028632964189591756,0.02180103512023266
precision macro (test) (transpose_{'n_semitones': 12}),16,0.28559085208014584,0.09905424283389944
recall macro (train) (transpose_{'n_semitones': 12}),0,0.8828341106068122,0.19867680243247912
recall macro (train) (transpose_{'n_semitones': 12}),1,0.5985902114576745,0.20888512516935348
recall macro (train) (transpose_{'n_semitones': 12}),2,0.6638221131472746,0.21942212841516054
recall macro (train) (transpose_{'n_semitones': 12}),3,0.7372535021479766,0.21925403804237462
recall macro (train) (transpose_{'n_semitones': 12}),4,0.8393462062933187,0.20698086303300453
recall macro (train) (transpose_{'n_semitones': 12}),5,0.9998039585871813,0.0011767301222770916
recall macro (train) (transpose_{'n_semitones': 12}),6,0.7963254469794252,0.18387587476652537
recall macro (train) (transpose_{'n_semitones': 12}),7,0.9175956695437729,0.10857382932400943
recall macro (train) (transpose_{'n_semitones': 12}),8,0.9807789792487385,0.033474024781578654
recall macro (train) (transpose_{'n_semitones': 12}),9,0.9989738887649241,0.0025177894031182826
recall macro (train) (transpose_{'n_semitones': 12}),10,1.0,0.0
recall macro (train) (transpose_{'n_semitones': 12}),11,1.0,0.0
recall macro (train) (transpose_{'n_semitones': 12}),12,0.513796865699965,0.1443175449861853
recall macro (train) (transpose_{'n_semitones': 12}),13,0.44545854753227043,0.18520721460423786
recall macro (train) (transpose_{'n_semitones': 12}),14,0.29170995670995675,0.0987405130196174
recall macro (train) (transpose_{'n_semitones': 12}),15,0.27655844155844156,0.10860091892894613
recall macro (train) (transpose_{'n_semitones': 12}),16,0.2815303734063318,0.10285868978022074
recall macro (test) (transpose_{'n_semitones': 12}),0,0.677504522670839,0.20903385393801294
recall macro (test) (transpose_{'n_semitones': 12}),1,0.5500783043276052,0.19565186209666652
recall macro (test) (transpose_{'n_semitones': 12}),2,0.5983892198397825,0.20361910503331013
recall macro (test) (transpose_{'n_semitones': 12}),3,0.6350888362056669,0.20850807957881917
recall macro (test) (transpose_{'n_semitones': 12}),4,0.6631318226807931,0.2092213401631186
recall macro (test) (transpose_{'n_semitones': 12}),5,0.712098378169551,0.15574557105390288
recall macro (test) (transpose_{'n_semitones': 12}),6,0.6566679793730196,0.18341440190895736
recall macro (test) (transpose_{'n_semitones': 12}),7,0.6914104422313969,0.1752204770445645
recall macro (test) (transpose_{'n_semitones': 12}),8,0.7093137214584637,0.15915862911050838
recall macro (test) (transpose_{'n_semitones': 12}),9,0.7115819494999941,0.15804858074135752
recall macro (test) (transpose_{'n_semitones': 12}),10,0.7392557504190765,0.16206045331024577
recall macro (test) (transpose_{'n_semitones': 12}),11,0.6758770561231486,0.14843107056517782
recall macro (test) (transpose_{'n_semitones': 12}),12,0.4652959283196497,0.1704251047248812
recall macro (test) (transpose_{'n_semitones': 12}),13,0.43759727737950044,0.17089234087735325
recall macro (test) (transpose_{'n_semitones': 12}),14,0.3008225108225109,0.09774115284018173
recall macro (test) (transpose_{'n_semitones': 12}),15,0.2856709956709957,0.10896761740431335
recall macro (test) (transpose_{'n_semitones': 12}),16,0.2720671816315115,0.12502099773294167
f1 macro (train) (transpose_{'n_semitones': 12}),0,0.8968252949768677,0.19513734015179135
f1 macro (train) (transpose_{'n_semitones': 12}),1,0.6421713468412616,0.21450137086202523
f1 macro (train) (transpose_{'n_semitones': 12}),2,0.706756235516759,0.21999979022577337
f1 macro (train) (transpose_{'n_semitones': 12}),3,0.7726465273736073,0.21667846692931278
f1 macro (train) (transpose_{'n_semitones': 12}),4,0.861758160735537,0.20110783568466903
f1 macro (train) (transpose_{'n_semitones': 12}),5,0.9998908092594913,0.0006549426066187726
f1 macro (train) (transpose_{'n_semitones': 12}),6,0.8328416976714423,0.16505132324605237
f1 macro (train) (transpose_{'n_semitones': 12}),7,0.9402176975316703,0.08476324052256747
